"","Music Concept WT                                         ","หน้า   :        1"
"","สินค้าคงเหลือ แยกตามคลังสินค้า    ","ณ วันที่  24 พ.ค. 2569"
"","รหัสสินค้าจาก","001-01005-000     ","ถึง","VP-ADAPTOR-9V","วันที่ : 24/05/2569"
"","หมวดสินค้าจาก","                  ","ถึง","9999"
"","คลังสินค้าจาก","01                ","ถึง","06"
"","คลัง","","รหัสสินค้า","ชื่อสินค้า","","","","","","  จำนวน","","ราคาต่อหน่วย","","มูลค่าคงเหลือ","ยอดค้างรับ","ยอดค้างส่ง"
"","PL","","","","ล๊อตคงเหลือ","","  จำนวน","ราคาต่อหน่วย","มูลค่าในล๊อต"
"","01","คลังมิวสิกคอนเซพท์"
"","","","002-07519","KORG SOFT CASE MS20 MINI","","","","","",1,"ใบ",,"",0.00
"","","","002-07521-140","KORG PIANO MAT 140X60 (พรม)","","","","","",1,"ผืน",,"",0.00,"           1"
"","","","002-07521-150","KORG PIANO MAT 150X100 (พรม)","","","","","",1,"ผืน",,"",0.00,"           2"
"","","","002-07533","KORG SC-EK/PA-GRBK","","","","","",1,"ใบ",,"",0.00
"","","","002-08004","KORG ELECTRONIC DRUM KR MINI","","","","","",6,"เครื่อง",,"",0.00,"          19"
"","","","002-08005","KORG CLIPHIT CLIP DRUM KIT CH-01","","","","","",1,"เครื่อง",,"",0.00,"           9"
"","","","002-10008","KORG DIGITAL MULTITRACK D-4","","","","","",1,"เครื่อง",,"",0.00
"","","","002-11049","VOX WAH WAH V845","","","","","",2,"ตัว",,"",0.00,"         100","           5"
"","","","002-11095-CB","VOX AMP. GUITAR VT20X CLASSIC BLUE","","","","","",1,"ตู้",,"",0.00,"           1"
"","Music Concept WT                                         ","หน้า   :        4"
"","สินค้าคงเหลือ แยกตามคลังสินค้า    ","ณ วันที่  24 พ.ค. 2569"
"","รหัสสินค้าจาก","001-01005-000     ","ถึง","VP-ADAPTOR-9V","วันที่ : 24/05/2569"
"","คลัง","","รหัสสินค้า","ชื่อสินค้า","","","","","","  จำนวน","","ราคาต่อหน่วย","","มูลค่าคงเหลือ","ยอดค้างรับ","ยอดค้างส่ง"
"","","","002-11101-AC","VOX AMP. GUITAR MV50 AC","","","","","",2,"เครื่อง",,"",0.00,"          34","           1"
"","","","002-11101-CL","VOX AMP. GUITAR MV50 CLEAN","","","","","",1,"เครื่อง",,"",0.00,"          53","           1"
"","","","002-11101-HG","VOX AMP. GUITAR MV50 HIGH GAIN","","","","","",4,"เครื่อง",,"",0.00,"           5"
"","","","002-11102-108","VOX AMP. BC108 CABINET BLACK","","","","","",1,"ตู้",,"",0.00,"          77","           2"
"","","","002-11103-ABS","VOX AMP. ADIO AIR BASS","","","","","",1,"ตู้",,"",0.00,"           3"
"","","","002-11106","VOX AC30 RADIO","","","","","",1,"เครื่อง",,"",0.00
