"","คลังสินค้า เบ๊เงียบเส็ง                                  ","หน้า   :        1"
"","สินค้าคงเหลือ แยกตามคลังสินค้า    ","ณ วันที่  14 มิ.ย. 2569"
"","รหัสสินค้าจาก","001-01005-000     ","ถึง","VRS10304514  ","วันที่ : 14/06/2569"
"","หมวดสินค้าจาก","                  ","ถึง","9999"
"","คลังสินค้าจาก","01                ","ถึง","99"
"","คลัง","","รหัสสินค้า","ชื่อสินค้า","","","","","","  จำนวน","","ราคาต่อหน่วย","","มูลค่าคงเหลือ","ยอดค้างรับ","ยอดค้างส่ง"
"","PL","","","","ล๊อตคงเหลือ","","  จำนวน","ราคาต่อหน่วย","มูลค่าในล๊อต"
"","01","คลังสำนักงานใหญ่"
"","","","F011-0232-803","FD AMERICAN VINT II 57 STRAT MN 2TS","","","","","",2,"ตัว",,"",0.00
"","","","F011-0232-806","FD AMERICAN VINT II 57 STRAT MN BLACK","","","","","",2,"ตัว",,"",0.00
"","","","F011-0232-807","FD AMERICAN VINT II 57 STRAT MN VINT BLONDE","","","","","",1,"ตัว",,"",0.00
"","","","F011-0270-834","FD AMERICAN VINT II 73 STRAT RW AGED NATURAL","","","","","",4,"ตัว",,"",0.00
"","","","F011-0272-802","FD AMERICAN VINT II 73 STRAT MN LAKE PLACID BLUE","","","","","",1,"ตัว",,"",0.00
"","","","F011-0272-829","FD AMERICAN VINT II 73 STRAT MN MOCHA","","","","","",1,"ตัว",,"",0.00
"","","","F011-0312-880","FD LTD AM VINT II 51 TELE MN PROTO WHT","","","","","",1,"ตัว",,"",0.00
"","","","F011-0332-829","FD AMERICAN VINT II 75 TELE DLX MN MOCHA","","","","","",1,"ตัว",,"",0.00
"","","","F011-0340-846","FD AM VINT II 66 JAZZMASTER RW SHERWOOD GREEN META","","","","","",1,"ตัว",,"",0.00
"","","","F011-0380-800","FD AMERICAN VINT II 63 TELE RW 3TSB","","","","","",2,"ตัว",,"",0.00
"","","","F011-0380-857","FD AMERICAN VINT II 63 TELE RW SURF GREEN","","","","","",4,"ตัว",,"",0.00
